CPID,LocalMagnitude,NeuralMagnitude,TotalRAC,Synced Til,Address,CPID_Valid,Witnesses
0b5cc9c673fa5de8039a54b5e7b1b598,0,0,0,5/9/2016 6:00:00 AM,S7LgQBNkcwDHAZaptVhGKUhVkAcY4uUMQ2,True,1,
0b5ef259411ec18e8dac2be0b732fd23,1000,1000,495333.33,5/9/2016 6:00:00 AM,S83FdFPoHJ9gAXeknKPL39gyHXdjuPyt3b,True,1,
0b95af694fe96043261fe98021a7b965,1.25,1.25,155,5/9/2016 6:00:00 AM,S8QrCKYj4ZZpeoeWE6wdX9kQepJL5kEJ9W,True,1,
0b994a7810d0dd2365e4cc898bb2f4c5,90,90,100000,5/9/2016 6:00:00 AM,S83S5Lgnymg6Tdy52vzv4MXxuGrvtHfnWS,True,1,
0bb2ad4a0ad90c31680134e27779812e,0,0,0,5/9/2016 6:00:00 AM,RzXh432vyxdtGiu4k7mkmnazVJ4HmoDiXJ,True,1,
0c01ee810be40d96ed01ea1fefa737d5,135,135,1002857.14,5/9/2016 6:00:00 AM,Rzes5oF7sE3N3Q5NDdAgawe6HojhhJM42m,True,1,
0c0ecde37ac99444c4c9051beed98ae9,5,5,860,5/9/2016 6:00:00 AM,S8Ziyc8rEjNF3b7wn1nisHecDY95E4rf8W,True,1,
0c130640a79aab9f1eaed36277bc51fc,6320,6320,1795714.29,5/9/2016 6:00:00 AM,SCLCaFDCMxZ82EBx3tzVH7Lz197w6vq8Nn,True,1,
0c214883c0b26b5ebfa4c9d5580b6f7c,1.25,1.25,210,5/9/2016 6:00:00 AM,SH5beTeqttwHZevZ8H3XP8m9uroYzvgUEY,True,1,
0c459c4ab87db8f26e3067ddaa4e3308,0,0,20,5/9/2016 6:00:00 AM,SEenQFLKeyH9HJoAiksJLBTtdCHMHLWkxG,True,1,
0c81346eb28337eaec5a68953404d4d0,13.75,13.75,500,5/9/2016 6:00:00 AM,S5mZTkCFr7JmMhvDtqi2Hjo4XAHYYM3Rcq,True,1,
0c8286ec5204923f8e372221b9f374d7,0,0,0,5/9/2016 6:00:00 AM,SAQwbyh1MvDiSg9dBmMgvtWp7hFHyJbgWa,True,1,
0c9fc513e638a2d005c523a28e7e928f,1480,1480,84666.67,5/9/2016 6:00:00 AM,SLNis7Fx7ekR831h6AeaoMVNF8nTRxMkzf,True,1,
0ca744d227e0143889666bc4d532d3e7,0,0,0,5/9/2016 6:00:00 AM,S43Rv1LrPparT1T8Qf1yj9rZHDNLEmdT4d,True,1,
0ca9a77b1db9057d9a355be8559ab96f,8.75,8.75,6960,5/9/2016 6:00:00 AM,S4PwWbPg5rkNy5R5rZUDM2jndMXiye7Az4,True,1,
0ccb7bfab886ede0a0260f0c7f8526f7,13.75,13.75,6160,5/9/2016 6:00:00 AM,S76eKytQkTpXgQNYtDnNUvzYDKayXFJPt6,True,1,
0d00a17af8781d5e1f3fcc220d4e43a3,0,0,0,5/9/2016 6:00:00 AM,RzbypDSjzcSTstrekKhzBeds4CfAZABDqb,True,1,
0d16c1c091f407cb11c3fb7b7357a8bb,0,0,0,5/9/2016 6:00:00 AM,SBA6fWkLyZfD7UVMj32rb7knULRqivAZTn,True,1,
0d1767594cc214383e02aa148c97cdb6,0,0,0,5/9/2016 6:00:00 AM,SDBYte2a5tAvsoLsr2j8N9QrRFbqD9Psu7,True,1,
0d2062725ba51a7f308deaa3206c203c,90,90,2087142.86,5/9/2016 6:00:00 AM,SC6CscxSbLNET3vrJZhaiibDmKoAzKUVr7,True,1,
0d58130a8309b68065012ca410043d37,0,0,0,5/9/2016 6:00:00 AM,SHaCUWP8Cac7WQBJ6VXiNkMLUNk5pBb2Ld,True,1,
0d7bf78aeb1dae402525a417a38b07e4,80,80,153333.33,5/9/2016 6:00:00 AM,S7fR7hW8bTvUtdDTjzTMtNqRWPWYZZf8Gb,True,1,
0d7cd65eb6985bc7476cc1799712ee57,8.75,8.75,7200,5/9/2016 6:00:00 AM,SCuY9LUoH1pG2awPkGqKwFsR1utHJp2eK7,True,1,
